species,taxonomic_order,litter_mass,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation,relative_litter_mass,relative_litter_mass_female
carollia_perspicillata,Chiroptera,4.89,6205,16.4,16.48770687,Endotheliochorial,Labyrinthine,0.29817073170731706,0.2965846032171725
leptonycteris_yerbabuenae,Chiroptera,7.1,3686.5,24.26,NA,Endotheliochorial,Labyrinthine,0.29266281945589445,NA
leptonycteris_nivalis,Chiroptera,7.8,3650,22.63,NA,Endotheliochorial,Labyrinthine,0.34467520989836503,NA
phyllostomus_discolor,Chiroptera,7.29,3285,40.05,37.04081633,Endotheliochorial,Labyrinthine,0.18202247191011237,0.19680991733693792
desmodus_rotundus,Chiroptera,6.94,10658,33.18,43.37795276,Endotheliochorial,Labyrinthine,0.20916214587100665,0.15998910871606567
pteronotus_davyi,Chiroptera,1.15,2682.75,9.4,NA,Hemochorial,Labyrinthine,0.12234042553191488,NA
mormoops_megalophylla,Chiroptera,0.91,2728.03,16.05,NA,Hemochorial,Labyrinthine,0.05669781931464175,NA
thyroptera_tricolor,Chiroptera,1.0682,5421.74,4.52,NA,Hemochorial,Labyrinthine,0.23632743362831862,NA
saccopteryx_bilineata,Chiroptera,3.49,2190,7.9,8,Endotheliochorial,Labyrinthine,0.4417721518987342,0.43625
taphozous_melanopogon,Chiroptera,5.8,7300,25.99,NA,Endotheliochorial,Labyrinthine,0.22316275490573298,NA
suncus_murinus,Eulipotyphla,7.441999999999999,1183.21,45.87,59.73,Hemochorial,Labyrinthine,0.16224111619795073,0.12459400636196216
sorex_araneus,Eulipotyphla,2.7552,1168,8.2,7.45,Hemochorial,Labyrinthine,0.336,0.3698255033557047
sorex_minutus,Eulipotyphla,1.3002,730,4.2,3.01,Hemochorial,Labyrinthine,0.30957142857142855,0.4319601328903655
