species;order;common_name;invasivness;interdigitation;link_url;;;;;;;;;;;
Tragelaphus_oryx;Artiodactyla;common_eland;Epitheliochorial;Villous;https://www.ncbi.nlm.nih.gov/pubmed/16712927;;;;;;;;;;;
Tragelaphus_scriptus;Artiodactyla;harnessed_bushbuck;Epitheliochorial;Villous;http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html;;;;;;;;;;;
Tragelaphus_spekii;Artiodactyla;sitatunga;Epitheliochorial;Villous;http://placentation.ucsd.edu/sita.html;;;;;;;;;;;
Tragelaphus_strepsiceros;Artiodactyla;greater_kudu;Epitheliochorial;Villous;https://www.ncbi.nlm.nih.gov/pubmed/16712927;;;;;;;;;;;
Tragulus_javanicus;Artiodactyla;Java_mouse-deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/chevro.htm;;;;;;;;;;;
Tragulus_napu;Artiodactyla;greater_mouse-deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/chevro.htm;;;;;;;;;;;
Vicugna_pacos;Artiodactyla;huacayan_alpaca;Epitheliochorial;Villous;https://en.wikipedia.org/wiki/Alpaca;;;;;;;;;;;
Vicugna_vicugna;Artiodactyla;vicua;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Acinonyx_jubatus;Carnivora;cheetah;Endotheliochorial;Labyrinthine;https://placentation.ucsd.edu/placenta.html;;;;;;;;;;;
Ailuropoda_melanoleuca;Carnivora;giant_panda;Endotheliochorial;Labyrinthine;https://placentation.ucsd.edu/placenta.html;;;;;;;;;;;
Ailurus_fulgens;Carnivora;red_panda;Endotheliochorial;Labyrinthine;http://placentation.ucsd.edu/panda.html;;;;;;;;;;;
Aonyx_capensis;Carnivora;African_clawless otter;Endotheliochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Aonyx_cinerea;Carnivora;Asian_small-clawed otter;Endotheliochorial;Labyrinthine;http://placentation.ucsd.edu/clotter.htm;;;;;;;;;;;
Aonyx_cinereus;Carnivora;Asian_small-clawed otter;Endotheliochorial;Labyrinthine;http://placentation.ucsd.edu/clotter.htm;;;;;;;;;;;
Arctictis_binturong;Carnivora;binturong;Endotheliochorial;Labyrinthine;https://placentation.ucsd.edu/placenta.html;;;;;;;;;;;
Arctocephalus_pusillus;Carnivora;brown_fur seal;Endotheliochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Arctocephalus_townsendi;Carnivora;Guadalupe_fur seal;Endotheliochorial;Labyrinthine;https://placentation.ucsd.edu/placenta.html;;;;;;;;;;;
Bassariscus_astutus;Carnivora;ringtail;Endotheliochorial;Labyrinthine;https://placentation.ucsd.edu/placenta.html;;;;;;;;;;;
Bassariscus_sumichrasti;Carnivora;cacomistle;Endotheliochorial;Labyrinthine;https://placentation.ucsd.edu/placenta.html;;;;;;;;;;;
Bradypus_griseus;Carnivora;sloth_bear;Endotheliochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Callorhinus_ursinus;Carnivora;northern_fur seal;Endotheliochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
