species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
ovis_canadensis,Artiodactyla,180,8760,69125,51100,Epitheliochorial,Villous
ovis_dalli,Artiodactyla,175.25,8760,70194.13,49066.66667,Epitheliochorial,Villous
capricornis_crispus,Artiodactyla,215,8760,43030.64,38430,Epitheliochorial,Villous
naemorhedus_goral,Artiodactyla,215,6916.75,28231.59,NA,Epitheliochorial,Villous
ovibos_moschatus,Artiodactyla,258,10001,312500,NA,Epitheliochorial,Villous
oryx_leucoryx,Artiodactyla,243,8723.5,121350,NA,Epitheliochorial,Villous
oryx_gazella,Artiodactyla,168,8723.5,37500,NA,Epitheliochorial,Villous
oryx_dammah,Artiodactyla,247,10037.5,177500,NA,Epitheliochorial,Villous
addax_nasomaculatus,Artiodactyla,276,10293,94288.68,NA,Epitheliochorial,Villous
hippotragus_niger,Artiodactyla,271,8121.25,225000,NA,Epitheliochorial,Villous
hippotragus_equinus,Artiodactyla,283.83,9453.5,233500,NA,Epitheliochorial,Villous
damaliscus_lunatus,Artiodactyla,238,8614,118798.7,NA,Epitheliochorial,Villous
alcelaphus_buselaphus,Artiodactyla,240.64,5828.85,159938.9,NA,Epitheliochorial,Villous
connochaetes_taurinus,Artiodactyla,253,9015.5,180500,NA,Epitheliochorial,Villous
connochaetes_gnou,Artiodactyla,258.72,7957,132250,NA,Epitheliochorial,Villous
gazella_dorcas,Artiodactyla,156,8650.5,47386.47,14100,Epitheliochorial,Villous
gazella_spekei,Artiodactyla,187.91,5405.04,20000,NA,Epitheliochorial,Villous
gazella_cuvieri,Artiodactyla,170.87,6533.5,20348.83,NA,Epitheliochorial,Villous
gazella_leptoceros,Artiodactyla,167.29,5329,24645.75,NA,Epitheliochorial,Villous
gazella_marica,Artiodactyla,169.22,7300,20200,NA,Epitheliochorial,Villous
gazella_subgutturosa,Artiodactyla,169.22,7300,37740.68,NA,Epitheliochorial,Villous
nanger_dama,Artiodactyla,208,7044.5,73000,NA,Epitheliochorial,Villous
nanger_granti,Artiodactyla,196,7190.5,61232.23,NA,Epitheliochorial,Villous
eudorcas_thomsonii,Artiodactyla,170.75,7300,23197.67,NA,Epitheliochorial,Villous
antilope_cervicapra,Artiodactyla,167.7,8723.5,37500,NA,Epitheliochorial,Villous
antidorcas_marsupialis,Artiodactyla,169.49,7300,33571.24,27850,Epitheliochorial,Villous
litocranius_walleri,Artiodactyla,204.15,6314.5,41333.33,NA,Epitheliochorial,Villous
saiga_tatarica,Artiodactyla,149.42,4380,37992,NA,Epitheliochorial,Villous
madoqua_guentheri,Artiodactyla,177.75,6387.5,4550,NA,Epitheliochorial,Villous
madoqua_kirkii,Artiodactyla,172,6314.5,4833.4,NA,Epitheliochorial,Villous
raphicerus_campestris,Artiodactyla,198.75,5110,11333.33,NA,Epitheliochorial,Villous
kobus_leche,Artiodactyla,229.4,9271,91722.52,NA,Epitheliochorial,Villous
kobus_megaceros,Artiodactyla,235,7701.5,87902.96,NA,Epitheliochorial,Villous
kobus_ellipsiprymnus,Artiodactyla,270,11080.79,175333,NA,Epitheliochorial,Villous
cephalophus_rufilatus,Artiodactyla,233.99,5548,12500,NA,Epitheliochorial,Villous
cephalophus_niger,Artiodactyla,127.83,5402,18100,NA,Epitheliochorial,Villous
cephalophus_silvicultor,Artiodactyla,165.27,8212.5,62006.6,NA,Epitheliochorial,Villous
cephalophus_jentinki,Artiodactyla,205.76,7771.46,69244.92,NA,Epitheliochorial,Villous
cephalophus_dorsalis,Artiodactyla,236,6387.5,11600,11600,Epitheliochorial,Villous
philantomba_monticola,Artiodactyla,195.7,5803.5,4896.05,NA,Epitheliochorial,Villous
neotragus_pygmaeus,Artiodactyla,188,5803.5,4200,NA,Epitheliochorial,Villous
oreotragus_oreotragus,Artiodactyla,206.66,9453.5,13000,NA,Epitheliochorial,Villous
aepyceros_melampus,Artiodactyla,196.74,9344,52500,40480,Epitheliochorial,Villous
bos_gaurus,Artiodactyla,274.77,9563,812571.5,NA,Epitheliochorial,Villous
bos_javanicus,Artiodactyla,295.89,9891.5,683333.3,NA,Epitheliochorial,Villous
bubalus_depressicornis,Artiodactyla,300,13176.5,205994.6,NA,Epitheliochorial,Villous
bubalus_mindorensis,Artiodactyla,302.93,10220,243861.5,NA,Epitheliochorial,Villous
syncerus_caffer,Artiodactyla,333.36,10877,646333,NA,Epitheliochorial,Villous
tragelaphus_eurycerus,Artiodactyla,288,7993.5,270998.4,NA,Epitheliochorial,Villous
tragelaphus_spekii,Artiodactyla,242,8249,87500,NA,Epitheliochorial,Villous
tragelaphus_scriptus,Artiodactyla,187.79,5584.5,43250.39,NA,Epitheliochorial,Villous
tragelaphus_oryx,Artiodactyla,271,9526.5,291250,NA,Epitheliochorial,Villous
tragelaphus_strepsiceros,Artiodactyla,225.54,8577.5,206056.4,166300,Epitheliochorial,Villous
tragelaphus_angasii,Artiodactyla,224,6752.5,100666.7,NA,Epitheliochorial,Villous
tragelaphus_imberbis,Artiodactyla,235,7227,82500,NA,Epitheliochorial,Villous
boselaphus_tragocamelus,Artiodactyla,255,7920.5,180000,NA,Epitheliochorial,Villous
