"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"giraffa_camelopardalis","Artiodactyla",61874.288,14417.5,8e+05,,"Epitheliochorial","Villous",0.07734286,,1.12,55244.9
"glaucomys_sabrinus","Rodentia",16.92,5183,148,,"Hemochorial","Labyrinthine",0.114324324324324,,3,5.64
"glaucomys_volans","Rodentia",11.2993,6935,65.4,79.1,"Hemochorial","Labyrinthine",0.172772171253823,0.142848293299621,3.13,3.61
"gorilla_gorilla","Primates",2116.8489,20221,150000,89113.46154,"Hemochorial","Villous",0.014112326,0.0237545356606961,1.01,2095.89
"gulo_gulo","Carnivora",244.2968,7117.5,12792.49,,"Endotheliochorial","Labyrinthine",0.0190968920046058,,2.84,86.02
"halichoerus_grypus","Carnivora",13995.35,17035.46,197570,,"Endotheliochorial","Labyrinthine",0.0708374247102293,,1,13995.35
"hapalemur_griseus","Primates",54.24,8504.5,1202.71,,"Epitheliochorial","Villous",0.0450981533370472,,1.2,45.2
"helarctos_malayanus","Carnivora",357.489,13103.5,46000,,"Endotheliochorial","Labyrinthine",0.0077715,,1.1,324.99
"hemicentetes_semispinosus","Afrosoricida",38.2063,1000.71,133,107.6,"Hemochorial","Labyrinthine",0.287265413533835,0.355077137546468,5.17,7.39
"hemigalus_derbyanus","Carnivora",250,6570,2375,,"Endotheliochorial","Labyrinthine",0.105263157894737,,2,125
"hemitragus_jemlahicus","Artiodactyla",2727,7957,35200,45000,"Epitheliochorial","Villous",0.0774715909090909,0.0606,1.01,2700
"heterocephalus_glaber","Rodentia",16.647,10329.5,35,,"Hemochorial","Labyrinthine",0.475628571428571,,8.95,1.86
"heterohyrax_brucei","Hyracoidea",425.25,5110,2000,,"Hemochorial","Labyrinthine",0.212625,,1.89,225
"hippopotamus_amphibius","Therapsida",40199.99,22338,2640000,1349750,"Epitheliochorial","Villous",0.0152272689393939,0.0297832857936655,1,40199.99
"hippotragus_equinus","Artiodactyla",16412.18,9453.5,233500,,"Epitheliochorial","Villous",0.0702877087794433,,1,16412.18
"hippotragus_niger","Artiodactyla",16412.18,8121.25,225000,,"Epitheliochorial","Villous",0.0729430222222222,,1,16412.18
"hyaena_hyaena","Carnivora",1633.075,9125,35070.51,,"Endotheliochorial","Labyrinthine",0.0465654762363022,,2.5,653.23
"hydrochoerus_hydrochaeris","Rodentia",5235,5511.5,51572.46,62000,"Hemochorial","Labyrinthine",0.101507665137556,0.0844354838709677,3.49,1500
"hydropotes_inermis","Artiodactyla",3048.57,5079.58,12760.04,12220,"Epitheliochorial","Villous",0.238915395249545,0.249473813420622,3,1016.19
"hydrurga_leptonyx","Carnivora",29399.9902,9490,375671.1,,"Endotheliochorial","Labyrinthine",0.0782599199139886,,0.98,29999.99
