"species","gestation_length","longevity","invasiveness","interdigitation","taxonomic_order"
"leontopithecus_chrysomelas",132.4,11534,"Hemochorial","Trabecular","Primates"
"leontopithecus_rosalia",132.4,11534,"Hemochorial","Trabecular","Primates"
"leopardus_geoffroyi",74.78,8471.04,"Endotheliochorial","Labyrinthine","Carnivora"
"leopardus_pardalis",80.35,10293,"Endotheliochorial","Labyrinthine","Carnivora"
"leopardus_wiedii",81.26,8775.21,"Endotheliochorial","Labyrinthine","Carnivora"
"leptailurus_serval",71.83,8395,"Endotheliochorial","Labyrinthine","Carnivora"
"leptonychotes_weddellii",312.01,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"leptonycteris_nivalis",121.66,3650,"Endotheliochorial","Labyrinthine","Chiroptera"
"leptonycteris_yerbabuenae",121.83,3686.5,"Endotheliochorial","Labyrinthine","Chiroptera"
"lepus_americanus",36.85,2920,"Hemochorial","Labyrinthine","Lagomorpha"
"limnogale_mergulus",68.48,2210.79,"Hemochorial","Labyrinthine","Afrosoricida"
"lissodelphis_borealis",365.28,15330,"Epitheliochorial","Villous","Artiodactyla"
"litocranius_walleri",204.15,6314.5,"Epitheliochorial","Villous","Artiodactyla"
"lobodon_carcinophaga",269.81,14235,"Endotheliochorial","Labyrinthine","Carnivora"
"lontra_canadensis",61.18,9855,"Endotheliochorial","Labyrinthine","Carnivora"
"lophocebus_aterrimus",181.7,13389.42,"Hemochorial","Villous","Primates"
"loris_tardigradus",167.61,7044.5,"Epitheliochorial","Villous","Primates"
"loxodonta_africana",669.68,29200,"Endotheliochorial","Labyrinthine","Proboscidea"
"lycaon_pictus",72,6205,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_canadensis",63,9782,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_lynx",66.5,9782,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_rufus",66,11801.67,"Endotheliochorial","Labyrinthine","Carnivora"
"macaca_fascicularis",165,14235,"Hemochorial","Trabecular","Primates"
"macaca_fuscata",174,14052.5,"Hemochorial","Trabecular","Primates"
"macaca_mulatta",165,14600,"Hemochorial","Trabecular","Primates"
"macaca_nigra",175.96,12410,"Hemochorial","Trabecular","Primates"
"macaca_radiata",161.56,10959.13,"Hemochorial","Trabecular","Primates"
"macaca_silenus",176,14663.88,"Hemochorial","Trabecular","Primates"
"macroscelides_proboscideus",65,3175.5,"Hemochorial","Labyrinthine","Macroscelidea"
"madoqua_guentheri",177.75,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"madoqua_kirkii",172,6314.5,"Epitheliochorial","Villous","Artiodactyla"
"mandrillus_sphinx",173.99,16910.45,"Hemochorial","Trabecular","Primates"
"marmota_flaviventris",30.2,7738,"Hemochorial","Labyrinthine","Rodentia"
"marmota_monax",32.35,5110,"Hemochorial","Labyrinthine","Rodentia"
"martes_americana",28,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"martes_zibellina",30.4,8030,"Endotheliochorial","Labyrinthine","Carnivora"
"mastomys_natalensis",23.54,1061.54,"Hemochorial","Labyrinthine","Rodentia"
"mazama_americana",225,6241.5,"Epitheliochorial","Villous","Artiodactyla"
"megaptera_novaeangliae",348.84,34675,"Epitheliochorial","Villous","Artiodactyla"
"melursus_ursinus",198,14600,"Hemochorial","Labyrinthine","Carnivora"
"meriones_shawi",25.49,1700.29,"Hemochorial","Labyrinthine","Rodentia"
"meriones_unguiculatus",25.09,2299.5,"Hemochorial","Labyrinthine","Rodentia"
"mesocricetus_auratus",16,3650,"Hemochorial","Labyrinthine","Rodentia"
"microcebus_murinus",60.34,6643,"Epitheliochorial","Villous","Primates"
"microdipodops_megacephalus",25.95,1977.08,"Endotheliochorial","Labyrinthine","Rodentia"
"microtus_xanthognathus",23.44,1000.25,"Hemochorial","Labyrinthine","Rodentia"
"miopithecus_talapoin",164.38,11278.5,"Hemochorial","Trabecular","Primates"
"mirounga_angustirostris",290.63,7406.46,"Endotheliochorial","Labyrinthine","Carnivora"
"mirza_coquereli",89,6351,"Epitheliochorial","Villous","Primates"
"mormoops_megalophylla",103.24,2728.03,"Hemochorial","Labyrinthine","Chiroptera"
"mungos_mungo",60.91,6351,"Endotheliochorial","Labyrinthine","Carnivora"
"muntiacus_muntjak",210,6862,"Epitheliochorial","Villous","Artiodactyla"
