"species","interbirth_interval","longevity","invasiveness","interdigitation","taxonomic_order"
"natalus_tumidirostris",359.45,4590.07,"Endotheliochorial","Labyrinthine","Chiroptera"
"neofelis_nebulosa",254.61,7227,"Endotheliochorial","Labyrinthine","Carnivora"
"neotoma_albigula",48.97,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_floridana",65.96,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_fuscipes",129.87,304.17,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_lepida",59.96,3832.5,"Hemochorial","Labyrinthine","Rodentia"
"neotragus_pygmaeus",264.82,5803.5,"Epitheliochorial","Villous","Artiodactyla"
"neovison_vison",364.75,4161,"Endotheliochorial","Labyrinthine","Carnivora"
"nomascus_gabriellae",889.37,16826.5,"Hemochorial","Villous","Primates"
"nycticebus_coucang",428.21,9672.5,"Epitheliochorial","Villous","Primates"
"nycticebus_pygmaeus",447.69,9672.5,"Epitheliochorial","Villous","Primates"
"ochotona_princeps",30.18,2670.58,"Hemochorial","Labyrinthine","Lagomorpha"
"octodon_degus",112.24,5110,"Hemochorial","Labyrinthine","Rodentia"
"odobenus_rosmarus",820.69,14600,"Endotheliochorial","Labyrinthine","Carnivora"
"odocoileus_hemionus",364.75,8030,"Epitheliochorial","Villous","Artiodactyla"
"odocoileus_virginianus",303.87,8395,"Epitheliochorial","Villous","Artiodactyla"
"okapia_johnstoni",592.64,12227.5,"Epitheliochorial","Villous","Artiodactyla"
"ondatra_zibethicus",29.98,3650,"Hemochorial","Labyrinthine","Rodentia"
"orcinus_orca",1459.5,36500,"Epitheliochorial","Villous","Artiodactyla"
"oreamnos_americanus",364.75,7592,"Epitheliochorial","Villous","Artiodactyla"
"oreotragus_oreotragus",364.75,9453.5,"Epitheliochorial","Villous","Artiodactyla"
