"species","litter_size","longevity","invasiveness","interdigitation","taxonomic_order"
"neofelis_nebulosa",2.25,7227,"Endotheliochorial","Labyrinthine","Carnivora"
"neotoma_albigula",2.14,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_floridana",2.63,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_fuscipes",2.72,304.17,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_lepida",2.92,3832.5,"Hemochorial","Labyrinthine","Rodentia"
"neotragus_pygmaeus",1,5803.5,"Epitheliochorial","Villous","Artiodactyla"
"neovison_vison",4.76,4161,"Endotheliochorial","Labyrinthine","Carnivora"
"nomascus_gabriellae",1,16826.5,"Hemochorial","Villous","Primates"
"nycticebus_coucang",1.04,9672.5,"Epitheliochorial","Villous","Primates"
"nycticebus_pygmaeus",1.12,9672.5,"Epitheliochorial","Villous","Primates"
"ochotona_princeps",3,2670.58,"Hemochorial","Labyrinthine","Lagomorpha"
"octodon_degus",5.31,5110,"Hemochorial","Labyrinthine","Rodentia"
"odobenus_rosmarus",1.18,14600,"Endotheliochorial","Labyrinthine","Carnivora"
"odocoileus_hemionus",1.62,8030,"Epitheliochorial","Villous","Artiodactyla"
"odocoileus_virginianus",1.71,8395,"Epitheliochorial","Villous","Artiodactyla"
"okapia_johnstoni",1,12227.5,"Epitheliochorial","Villous","Artiodactyla"
"ondatra_zibethicus",6.42,3650,"Hemochorial","Labyrinthine","Rodentia"
"orcinus_orca",1,36500,"Epitheliochorial","Villous","Artiodactyla"
"oreamnos_americanus",1.32,7592,"Epitheliochorial","Villous","Artiodactyla"
"oreotragus_oreotragus",1,9453.5,"Epitheliochorial","Villous","Artiodactyla"
"orycteropus_afer",1.03,10877,"Endotheliochorial","Labyrinthine","Tubulidentata"
"oryctolagus_cuniculus",5.24,6570,"Hemochorial","Labyrinthine","Lagomorpha"
"oryx_dammah",1,10037.5,"Epitheliochorial","Villous","Artiodactyla"
"oryx_gazella",1,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"oryx_leucoryx",1,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"otocolobus_manul",4.14,5803.5,"Endotheliochorial","Labyrinthine","Carnivora"
"otocyon_megalotis",4,6527.42,"Endotheliochorial","Labyrinthine","Carnivora"
